"generic_names","rxnorm1","rxnorm_str1","rxnorm2","rxnorm_str2"
"potassium gluconate",89903,"potassium gluconate",89903,"potassium gluconate"
"potassium chloride extended-release tablets",NA,NA,NA,NA
"potassium bicarbonate",34296,"potassium bicarbonate",34296,"potassium bicarbonate"
"potassium bicarbonate and potassium chloride",NA,NA,NA,NA
"potassium bicarbonate capsules and tablets",NA,NA,NA,NA
"magnesium chloride",6579,"magnesium chloride",6579,"magnesium chloride"
"magnesium amino acids chelate",NA,NA,486895,"magnesium amino acid chelate"
"magnesium gluconate",52358,"magnesium gluconate",52358,"magnesium gluconate"
"tolvaptan",358257,"tolvaptan",358257,"tolvaptan"
"conivaptan",302285,"conivaptan",302285,"conivaptan"
"urea",11002,"urea",11002,"urea"
"sodium acetate",56443,"sodium acetate",56443,"sodium acetate"
"teriparatide",32915,"teriparatide",32915,"teriparatide"
"asfotase alfa",1720259,"asfotase alfa",1720259,"asfotase alfa"
"potassium phosphate and sodium phosphate",NA,NA,NA,NA
"potassium phosphate",34322,"potassium phosphate",34322,"potassium phosphate"
"sodium phosphates injection",NA,NA,NA,NA
"albumin human",NA,NA,828529,"albumin human, usp"
"phytonadione tablets",NA,NA,NA,NA
"phytonadione",NA,NA,8308,"vitamin k 1"
"norepinephrine",7512,"norepinephrine",7512,"norepinephrine"
"droxidopa",1489913,"droxidopa",1489913,"droxidopa"
"ephedrine",3966,"ephedrine",3966,"ephedrine"
"liothyronine",10814,"liothyronine",10814,"liothyronine"
"liothyronine injection",NA,NA,NA,NA
"tetrastarch",NA,NA,NA,NA
"midazolam",6960,"midazolam",6960,"midazolam"
"romiplostim",805452,"romiplostim",805452,"romiplostim"
"fostamatinib",2044896,"fostamatinib",2044896,"fostamatinib"
"rho immune globulin",NA,NA,NA,NA
"pirfenidone",1592254,"pirfenidone",1592254,"pirfenidone"
"mupirocin topical",NA,NA,NA,NA
"retapamulin topical",NA,NA,NA,NA
"sulconazole topical",NA,NA,NA,NA
"mupirocin",42372,"mupirocin",42372,"mupirocin"
"ozenoxacin topical",NA,NA,NA,NA
"ertapenem",325642,"ertapenem",325642,"ertapenem"
"rimantadine",9386,"rimantadine",9386,"rimantadine"
"influenza virus vaccine",NA,NA,NA,NA
"zanamivir",69722,"zanamivir",69722,"zanamivir"
"acetaminophen, chlorpheniramine, dextromethorphan, and pseudoephedrine",NA,NA,NA,NA
"peramivir",619693,"peramivir",619693,"peramivir"
"acetaminophen, dextromethorphan, guaifenesin, phenylephrine caps &amp; tabs",NA,NA,NA,NA
"baloxavir marboxil",2099995,"baloxavir marboxil",2099995,"baloxavir marboxil"
"acetaminophen, dextromethorphan, and diphenhydramine",NA,NA,NA,NA
"acetaminophen/chlorpheniramine/dextromethorphan/pseudoephedrine liq &amp; syrup",NA,NA,NA,NA
"anthrax immune globulin",1722336,"anthrax immune globulin",1722336,"anthrax immune globulin"
"flurbiprofen ophthalmic",NA,NA,NA,NA
"pramoxine and zinc acetate topical",NA,NA,NA,NA
"camphor/pramoxine/zinc",NA,NA,NA,NA
"zolpidem",39993,"zolpidem",39993,"zolpidem"
"temazepam",10355,"temazepam",10355,"temazepam"
"eszopiclone",461016,"eszopiclone",461016,"eszopiclone"
"zolpidem extended-release tablets",NA,NA,NA,NA
"suvorexant",1547099,"suvorexant",1547099,"suvorexant"
"doxepin",3638,"doxepin",3638,"doxepin"
"triazolam",10767,"triazolam",10767,"triazolam"
"ramelteon",596205,"ramelteon",596205,"ramelteon"
"flurazepam",4501,"flurazepam",4501,"flurazepam"
"zaleplon",74667,"zaleplon",74667,"zaleplon"
"diphenhydramine and ibuprofen",NA,NA,644895,"diphenhydramine / ibuprofen"
"estazolam",4077,"estazolam",4077,"estazolam"
"cilostazol",21107,"cilostazol",21107,"cilostazol"
"pentoxifylline",8013,"pentoxifylline",8013,"pentoxifylline"
"trospium",236778,"trospium",236778,"trospium"
"dimethyl sulfoxide",3455,"dimethyl sulfoxide",3455,"dimethyl sulfoxide"
"nystatin",7597,"nystatin",7597,"nystatin"
"meropenem",29561,"meropenem",29561,"meropenem"
"tigecycline",384455,"tigecycline",384455,"tigecycline"
"iron sucrose",24909,"iron sucrose",24909,"iron sucrose"
"iron polysaccharide",219315,"iron polysaccharide",219315,"iron polysaccharide"
"ascorbic acid and iron polysaccharide",NA,NA,NA,NA
"deferoxamine",3131,"deferoxamine",3131,"deferoxamine"
"eluxadoline",1653781,"eluxadoline",1653781,"eluxadoline"
"aspirin and dipyridamole",NA,NA,226716,"aspirin / dipyridamole"
"aspirin enteric-coated and buffered tablets",NA,NA,NA,NA
"alteplase",8410,"alteplase",8410,"alteplase"
"nimodipine",7426,"nimodipine",7426,"nimodipine"
"japanese encephalitis virus vaccine",NA,NA,NA,NA
"abatacept",614391,"abatacept",614391,"abatacept"
"adalimumab-bwwd",NA,NA,NA,NA
"adalimumab-adaz",NA,NA,NA,NA
"etanercept-ykro",NA,NA,NA,NA
"etodolac",24605,"etodolac",24605,"etodolac"
"oxaprozin",32613,"oxaprozin",32613,"oxaprozin"
"doxorubicin liposomal",NA,NA,NA,NA
"alitretinoin topical",NA,NA,NA,NA
"pomalidomide",1369713,"pomalidomide",1369713,"pomalidomide"
"diclofenac topical",NA,NA,NA,NA
"collagenase",58939,"collagenase",58939,"collagenase"
"diclofenac topical solution",NA,NA,NA,NA
"methyl aminolevulinate",NA,NA,337068,"methyl 5-aminolevulinate"
"oxymorphone",7814,"oxymorphone",7814,"oxymorphone"
"lactase chewable tablets",NA,NA,NA,NA
"edetate calcium disodium",NA,NA,NA,NA
"succimer",3446,"succimer",3446,"succimer"
"enalapril oral solution",NA,NA,NA,NA
"pentamidine",7994,"pentamidine",7994,"pentamidine"
"miltefosine",1494066,"miltefosine",1494066,"miltefosine"
"clobazam",21241,"clobazam",21241,"clobazam"
"rufinamide",69036,"rufinamide",69036,"rufinamide"
"thalidomide",10432,"thalidomide",10432,"thalidomide"
"triamcinolone cream and ointment",NA,NA,NA,NA
"clobetasol",2590,"clobetasol",2590,"clobetasol"
"doxepin topical",NA,NA,NA,NA
"iodoquinol",3435,"iodoquinol",3435,"iodoquinol"
"meperidine",6754,"meperidine",6754,"meperidine"
"secobarbital",9624,"secobarbital",9624,"secobarbital"
"levorphanol",6378,"levorphanol",6378,"levorphanol"
"meperidine tablets",NA,NA,NA,NA
"tesamorelin",1044584,"tesamorelin",1044584,"tesamorelin"
"metreleptin",1491625,"metreleptin",1491625,"metreleptin"
"gadoxetate",NA,NA,NA,NA
"floxuridine",4488,"floxuridine",4488,"floxuridine"
"mepivacaine",6759,"mepivacaine",6759,"mepivacaine"
"cocaine",2653,"cocaine",2653,"cocaine"
"articaine and epinephrine",NA,NA,284622,"articaine / epinephrine"
"lidocaine and epinephrine",NA,NA,NA,NA
"lidocaine and tetracaine topical",NA,NA,NA,NA
"chloroprocaine",20859,"chloroprocaine",20859,"chloroprocaine"
"sirolimus",35302,"sirolimus",35302,"sirolimus"
"bortezomib",358258,"bortezomib",358258,"bortezomib"
"pralatrexate",662019,"pralatrexate",662019,"pralatrexate"
"sebelipase alfa",1726975,"sebelipase alfa",1726975,"sebelipase alfa"
"pegaptanib ophthalmic injection",NA,NA,NA,NA
"verteporfin",118886,"verteporfin",118886,"verteporfin"
"brolucizumab ophthalmic",NA,NA,NA,NA
"vortioxetine",1455099,"vortioxetine",1455099,"vortioxetine"
"brexpiprazole",1658314,"brexpiprazole",1658314,"brexpiprazole"
"atovaquone and proguanil",NA,NA,284623,"atovaquone / proguanil"
"mefloquine",6694,"mefloquine",6694,"mefloquine"
"primaquine",8687,"primaquine",8687,"primaquine"
"pyrimethamine",9010,"pyrimethamine",9010,"pyrimethamine"
"tafenoquine",2054023,"tafenoquine",2054023,"tafenoquine"
"artemether and lumefantrine",NA,NA,282448,"artemether / lumefantrine"
"ipilimumab",1094833,"ipilimumab",1094833,"ipilimumab"
"aldesleukin",70223,"aldesleukin",70223,"aldesleukin"
"talimogene laherparepvec",NA,NA,NA,NA
"pemetrexed",68446,"pemetrexed",68446,"pemetrexed"
"acalabrutinib",1986808,"acalabrutinib",1986808,"acalabrutinib"
"zanubrutinib",2262435,"zanubrutinib",2262435,"zanubrutinib"
"measles, mumps, and rubella vaccine",NA,NA,NA,NA
"measles, mumps, rubella and varicella vaccine",NA,NA,NA,NA
"sodium chloride",9863,"sodium chloride",9863,"sodium chloride"
"formaldehyde",4530,"formaldehyde",4530,"formaldehyde"
"sodium chloride nebulizer solution",NA,NA,NA,NA
"trametinib",1425099,"trametinib",1425099,"trametinib"
"dabrafenib",1424911,"dabrafenib",1424911,"dabrafenib"
"cobimetinib",1722365,"cobimetinib",1722365,"cobimetinib"
"binimetinib",2049122,"binimetinib",2049122,"binimetinib"
"encorafenib",2049106,"encorafenib",2049106,"encorafenib"
"fluocinolone, hydroquinone, and tretinoin topical",NA,NA,NA,NA
"meningococcal group b vaccine",1593128,"meningococcal group b vaccine",1593128,"meningococcal group b vaccine"
"meningococcal conjugate vaccine",NA,NA,NA,NA
"estradiol and progesterone",NA,NA,815024,"estradiol / progesterone"
"dienogest and estradiol",NA,NA,994203,"dienogest / estradiol"
"avelumab",1875534,"avelumab",1875534,"avelumab"
"citric acid, potassium citrate, and sodium citrate",NA,NA,689841,"citric acid / potassium citrate / sodium citrate"
"citric acid, sodium citrate, and potassium citrate",NA,NA,NA,NA
"dalfopristin and quinupristin",NA,NA,135098,"dalfopristin / quinupristin"
"glucarpidase",1242127,"glucarpidase",1242127,"glucarpidase"
"riboflavin",9346,"riboflavin",9346,"riboflavin"
"rizatriptan",88014,"rizatriptan",88014,"rizatriptan"
"eletriptan",231049,"eletriptan",231049,"eletriptan"
"naratriptan",141366,"naratriptan",141366,"naratriptan"
"almotriptan",279645,"almotriptan",279645,"almotriptan"
"naproxen and sumatriptan",NA,NA,797426,"naproxen / sumatriptan"
"frovatriptan",228783,"frovatriptan",228783,"frovatriptan"
"benzethonium chloride topical",NA,NA,NA,NA
"benzoin tincture swab",NA,NA,NA,NA
"camphor and menthol topical",NA,NA,NA,NA
"smallpox monkeypox vaccine, live non-replicating",NA,NA,NA,NA
"meclizine",6676,"meclizine",6676,"meclizine"
"dimenhydrinate",3444,"dimenhydrinate",3444,"dimenhydrinate"
"scopolamine transdermal",NA,NA,NA,NA
"meclizine tablets",NA,NA,NA,NA
"guaifenesin and dextromethorphan extended-release tablets",NA,NA,NA,NA
"guaifenesin and dextromethorphan granule packets",NA,NA,NA,NA
"guaifenesin and dextromethorphan liquid",NA,NA,NA,NA
"guaifenesin and dextromethorphan capsules and tablets",NA,NA,NA,NA
"laronidase",392509,"laronidase",392509,"laronidase"
"idursulfase",644101,"idursulfase",644101,"idursulfase"
"elosulfase alfa",1489914,"elosulfase alfa",1489914,"elosulfase alfa"
"galsulfase",578033,"galsulfase",578033,"galsulfase"
"vestronidase alfa",1989819,"vestronidase alfa",1989819,"vestronidase alfa"
"saliva substitutes",NA,NA,NA,NA
"palifermin",196319,"palifermin",196319,"palifermin"
"saliva substitute gel",NA,NA,NA,NA
"saliva substitute solution",NA,NA,NA,NA
"siltuximab",1535218,"siltuximab",1535218,"siltuximab"
"carfilzomib",1302966,"carfilzomib",1302966,"carfilzomib"
"melphalan injection",NA,NA,NA,NA
"daratumumab",1721947,"daratumumab",1721947,"daratumumab"
"melphalan",6718,"melphalan",6718,"melphalan"
"ixazomib",1723735,"ixazomib",1723735,"ixazomib"
"elotuzumab",1726104,"elotuzumab",1726104,"elotuzumab"
"panobinostat",1603350,"panobinostat",1603350,"panobinostat"
"glatiramer",214582,"glatiramer",214582,"glatiramer"
"fingolimod",1012892,"fingolimod",1012892,"fingolimod"
"dalfampridine",897018,"dalfampridine",897018,"dalfampridine"
"dimethyl fumarate",1373478,"dimethyl fumarate",1373478,"dimethyl fumarate"
"teriflunomide",1310520,"teriflunomide",1310520,"teriflunomide"
"interferon beta-1a",75917,"interferon beta-1a",75917,"interferon beta-1a"
"ocrelizumab",1876366,"ocrelizumab",1876366,"ocrelizumab"
"interferon beta-1a autoinjector and prefilled syringes",NA,NA,NA,NA
"peginterferon beta-1a",1546168,"peginterferon beta-1a",1546168,"peginterferon beta-1a"
"methocarbamol",6845,"methocarbamol",6845,"methocarbamol"
"carisoprodol",2101,"carisoprodol",2101,"carisoprodol"
"chlorzoxazone",2410,"chlorzoxazone",2410,"chlorzoxazone"
"orphenadrine",7715,"orphenadrine",7715,"orphenadrine"
"aspirin, caffeine, and orphenadrine",NA,NA,NA,NA
"aspirin and carisoprodol",NA,NA,214251,"aspirin / carisoprodol"
"pentafluoropropane and tetrafluoroethane",NA,NA,NA,NA
"aspirin, carisoprodol, and codeine",NA,NA,NA,NA
"acetaminophen controlled-release tablets",NA,NA,NA,NA
"neostigmine tablets",NA,NA,NA,NA
"pyridostigmine injection",NA,NA,NA,NA
"ethambutol",4110,"ethambutol",4110,"ethambutol"
"rifabutin",55672,"rifabutin",55672,"rifabutin"
"amikacin liposome",NA,NA,NA,NA
"isoniazid",6038,"isoniazid",6038,"isoniazid"
"mogamulizumab",2054068,"mogamulizumab",2054068,"mogamulizumab"
"mechlorethamine topical",NA,NA,NA,NA
"azacitidine",1251,"azacitidine",1251,"azacitidine"
"fedratinib",2197490,"fedratinib",2197490,"fedratinib"
"methylphenidate controlled-release tablets",NA,NA,NA,NA
"solriamfetol",2121751,"solriamfetol",2121751,"solriamfetol"
"pitolisant",2197878,"pitolisant",2197878,"pitolisant"
"pseudoephedrine",8896,"pseudoephedrine",8896,"pseudoephedrine"
"oxymetazoline nasal",NA,NA,NA,NA
"pseudoephedrine extended-release tablets",NA,NA,NA,NA
"loratadine and pseudoephedrine",NA,NA,214682,"loratadine / pseudoephedrine"
"sodium chloride nasal",NA,NA,9863,"sodium chloride"
"phenylephrine injection",NA,NA,NA,NA
"phenylephrine nasal",NA,NA,NA,NA
"pseudoephedrine capsules and tablets",NA,NA,NA,NA
"xylometazoline nasal",NA,NA,NA,NA
"beclomethasone nasal",NA,NA,NA,NA
"aprepitant",358255,"aprepitant",358255,"aprepitant"
"palonosetron",70561,"palonosetron",70561,"palonosetron"
"granisetron",26237,"granisetron",26237,"granisetron"
"netupitant and palonosetron",NA,NA,1552342,"netupitant / palonosetron"
"fosaprepitant",1731071,"fosaprepitant",1731071,"fosaprepitant"
"doxylamine and pyridoxine",NA,NA,1375947,"doxylamine / pyridoxine"
"vitamin b6, ginger, folic acid, and calcium",NA,NA,NA,NA
"droperidol",3648,"droperidol",3648,"droperidol"
"fructose, dextrose, and phosphoric acid",NA,NA,NA,NA
"potassium citrate",54993,"potassium citrate",54993,"potassium citrate"
"cysteamine",3022,"cysteamine",3022,"cysteamine"
"atropine and pralidoxime",NA,NA,465370,"atropine / pralidoxime"
"dinutuximab",1606274,"dinutuximab",1606274,"dinutuximab"
"lutetium lu 177 dotatate",NA,NA,NA,NA
"selumetinib",NA,NA,NA,NA
"guanidine",50675,"guanidine",50675,"guanidine"
"cenegermin",2104332,"cenegermin",2104332,"cenegermin"
"pegfilgrastim",338036,"pegfilgrastim",338036,"pegfilgrastim"
"tbo-filgrastim",NA,NA,NA,NA
"niacinamide",7405,"niacinamide",7405,"niacinamide"
"aspirin chewable tablets",NA,NA,NA,NA
"desmopressin sublingual tablets",NA,NA,NA,NA
"tasimelteon",1490468,"tasimelteon",1490468,"tasimelteon"
"ibritumomab tiuxetan",NA,NA,NA,NA
"ibritumomab",NA,NA,NA,NA
"plerixafor",733003,"plerixafor",733003,"plerixafor"
"erlotinib",337525,"erlotinib",337525,"erlotinib"
"osimertinib",1721560,"osimertinib",1721560,"osimertinib"
"gefitinib",328134,"gefitinib",328134,"gefitinib"
"crizotinib",1148495,"crizotinib",1148495,"crizotinib"
"vinorelbine",39541,"vinorelbine",39541,"vinorelbine"
"afatinib",1430438,"afatinib",1430438,"afatinib"
"alectinib",1727455,"alectinib",1727455,"alectinib"
"orlistat",37925,"orlistat",37925,"orlistat"
"rosiglitazone",84108,"rosiglitazone",84108,"rosiglitazone"
"betaine",1512,"betaine",1512,"betaine"
"dopamine",3628,"dopamine",3628,"dopamine"
"lamivudine and zidovudine",NA,NA,214671,"lamivudine / zidovudine"
"atazanavir",343047,"atazanavir",343047,"atazanavir"
"zidovudine",11413,"zidovudine",11413,"zidovudine"
"indinavir",114289,"indinavir",114289,"indinavir"
"saquinavir",83395,"saquinavir",83395,"saquinavir"
"didanosine",3364,"didanosine",3364,"didanosine"
"abacavir, lamivudine, and zidovudine",NA,NA,284620,"abacavir / lamivudine / zidovudine"
"famotidine and ibuprofen",NA,NA,1100065,"famotidine / ibuprofen"
"phentermine",8152,"phentermine",8152,"phentermine"
"bupropion and naltrexone",NA,NA,1551467,"bupropion / naltrexone"
"phendimetrazine",33272,"phendimetrazine",33272,"phendimetrazine"
"phentermine and topiramate",NA,NA,1302826,"phentermine / topiramate"
"diethylpropion",3389,"diethylpropion",3389,"diethylpropion"
"lorcaserin",1300701,"lorcaserin",1300701,"lorcaserin"
"phendimetrazine tablets",NA,NA,NA,NA
"clomipramine",2597,"clomipramine",2597,"clomipramine"
"emtricitabine",276237,"emtricitabine",276237,"emtricitabine"
"nelfinavir",134527,"nelfinavir",134527,"nelfinavir"
"trifluridine ophthalmic",NA,NA,10803,"trifluridine"
"natamycin ophthalmic",NA,NA,7268,"natamycin"
"terbinafine tablets and hydroxypropyl-chitosan nail lacquer",NA,NA,NA,NA
"efinaconazole topical",NA,NA,NA,NA
"tavaborole topical",NA,NA,NA,NA
"undecylenic acid topical",NA,NA,NA,NA
"undecylenic acid",NA,NA,NA,NA
"proparacaine ophthalmic",NA,NA,NA,NA
"phenylephrine and ketorolac",NA,NA,1540229,"ketorolac / phenylephrine"
"ophthalmic irrigation",NA,NA,NA,NA
"trypan blue",NA,NA,NA,NA
"hyaluronate and derivatives injection",NA,NA,NA,NA
"sodium chondroitin and sodium hyaluronate",NA,NA,NA,NA
"buprenorphine and naloxone",NA,NA,352364,"buprenorphine / naloxone"
"buprenorphine and naloxone (bue pre nor feen and nal ox one",NA,NA,NA,NA
"methadone tablets",NA,NA,NA,NA
"lofexidine",28863,"lofexidine",28863,"lofexidine"
"naldemedine",1876597,"naldemedine",1876597,"naldemedine"
"naloxone injection",NA,NA,NA,NA
"naloxone",7242,"naloxone",7242,"naloxone"
"hydrogen peroxide oral rinse",NA,NA,NA,NA
"benzocaine oral suspension",NA,NA,NA,NA
"benzocaine oral cream, gel, liquid, and ointment",NA,NA,NA,NA
"benzocaine and glycerin oral spray",NA,NA,NA,NA
"miconazole oral",NA,NA,NA,NA
"cyclosporine capsules, modified",NA,NA,NA,NA
"tacrolimus extended-release capsules",NA,NA,NA,NA
"cyclosporine injection",NA,NA,NA,NA
"tacrolimus extended-release tablets",NA,NA,NA,NA
"basiliximab",196102,"basiliximab",196102,"basiliximab"
"daclizumab",190353,"daclizumab",190353,"daclizumab"
"tropicamide ophthalmic",NA,NA,NA,NA
"diclofenac and misoprostol",NA,NA,214502,"diclofenac / misoprostol"
"acetaminophen and codeine",NA,NA,817579,"acetaminophen / codeine"
"dicloxacillin",3356,"dicloxacillin",3356,"dicloxacillin"
"cholecalciferol/genistein/zinc chelazome",NA,NA,NA,NA
"ibandronate",115264,"ibandronate",115264,"ibandronate"
"risedronate",73056,"risedronate",73056,"risedronate"
"raloxifene",72143,"raloxifene",72143,"raloxifene"
"ciprofloxacin and dexamethasone otic",NA,NA,NA,NA
"hydrocortisone, neomycin, and polymyxin b otic",NA,NA,NA,NA
"acetic acid and hydrocortisone",NA,NA,466530,"acetic acid / hydrocortisone"
"acetic acid and aluminum acetate otic solution",NA,NA,NA,NA
"neomycin, polymyxin b, and hydrocortisone",NA,NA,NA,NA
"neomycin, polymyxin b, and hydrocortisone otic suspension",NA,NA,NA,NA
"olaparib",1597582,"olaparib",1597582,"olaparib"
"rucaparib",1862579,"rucaparib",1862579,"rucaparib"
"cetrorelix",68147,"cetrorelix",68147,"cetrorelix"
"hydrocodone",5489,"hydrocodone",5489,"hydrocodone"
"streptozocin",10114,"streptozocin",10114,"streptozocin"
"irinotecan liposomal",NA,NA,NA,NA
"alprazolam oral solution",NA,NA,NA,NA
"iobenguane i-131",2053281,"iobenguane i-131",2053281,"iobenguane i-131"
"pimavanserin",1791685,"pimavanserin",1791685,"pimavanserin"
"rasagiline",134748,"rasagiline",134748,"rasagiline"
"ropinirole",72302,"ropinirole",72302,"ropinirole"
"pramipexole",746741,"pramipexole",746741,"pramipexole"
"selegiline",9639,"selegiline",9639,"selegiline"
"entacapone",60307,"entacapone",60307,"entacapone"
"rotigotine",616739,"rotigotine",616739,"rotigotine"
"levodopa, carbidopa, and entacapone",NA,NA,NA,NA
"carbidopa, entacapone, and levodopa",NA,NA,NA,NA
"levodopa inhalation",NA,NA,NA,NA
"bacitracin, neomycin, and polymyxin b",NA,NA,NA,NA
"gentamicin topical",NA,NA,NA,NA
"bacitracin, neomycin, polymyxin b, and hydrocortisone",NA,NA,NA,NA
"propantheline",8761,"propantheline",8761,"propantheline"
"bivalirudin",60819,"bivalirudin",60819,"bivalirudin"
"cangrelor",1656052,"cangrelor",1656052,"cangrelor"
"carbamide peroxide liquid",NA,NA,NA,NA
"erythromycin topical",NA,NA,NA,NA
"benzoyl peroxide cream",NA,NA,NA,NA
"clindamycin solution and swab",NA,NA,NA,NA
"benzoyl peroxide",1418,"benzoyl peroxide",1418,"benzoyl peroxide"
"benzoyl peroxide wash and cleanser",NA,NA,NA,NA
"vorapaxar",1537034,"vorapaxar",1537034,"vorapaxar"
"belinostat",1543543,"belinostat",1543543,"belinostat"
"icodextrin",140480,"icodextrin",140480,"icodextrin"
"sapropterin",753340,"sapropterin",753340,"sapropterin"
"pegvaliase",2046360,"pegvaliase",2046360,"pegvaliase"
"phenoxybenzamine",8149,"phenoxybenzamine",8149,"phenoxybenzamine"
"metyrosine",266604,"metyrosine",266604,"metyrosine"
"acitretin",16818,"acitretin",16818,"acitretin"
"betamethasone and calcipotriene topical",NA,NA,NA,NA
"calcipotriene topical",NA,NA,NA,NA
"ixekizumab",1745099,"ixekizumab",1745099,"ixekizumab"
"guselkumab",1928588,"guselkumab",1928588,"guselkumab"
"brodalumab",1872251,"brodalumab",1872251,"brodalumab"
"talc",10323,"talc",10323,"talc"
"pneumococcal polysaccharides vaccine, 23-valent",NA,NA,NA,NA
"pneumococcal 13-valent conjugate vaccine",NA,NA,NA,NA
"polio vaccine, inactivated",NA,NA,NA,NA
"drospirenone, ethinyl estradiol, and levomefolate",NA,NA,NA,NA
"alglucosidase alfa",629565,"alglucosidase alfa",629565,"alglucosidase alfa"
"hemin",5175,"hemin",5175,"hemin"
"givosiran",2265712,"givosiran",2265712,"givosiran"
"florbetaben f 18",NA,NA,NA,NA
"rubidium rb 82",NA,NA,NA,NA
"fluciclovine f 18",NA,NA,NA,NA
"gallium ga 68 dotatate",NA,NA,NA,NA
"drospirenone and estradiol",NA,NA,608838,"drospirenone / estradiol"
"nepafenac ophthalmic",NA,NA,NA,NA
"difluprednate ophthalmic",NA,NA,NA,NA
"bromfenac",19737,"bromfenac",19737,"bromfenac"
"methylergonovine",6883,"methylergonovine",6883,"methylergonovine"
"brexanolone",2121777,"brexanolone",2121777,"brexanolone"
"histrelin",50975,"histrelin",50975,"histrelin"
"leuprolide injection",NA,NA,NA,NA
"nafarelin nasal",NA,NA,NA,NA
"triptorelin",38782,"triptorelin",38782,"triptorelin"
"hydroxyprogesterone injection",NA,NA,NA,NA
"acebutolol",149,"acebutolol",149,"acebutolol"
"acetaminophen, pamabrom, and pyrilamine",NA,NA,NA,NA
"acetaminophen and pamabrom",NA,NA,214184,"acetaminophen / pamabrom"
"acetaminophen, pamabrom, and pyrilamine tablets",NA,NA,NA,NA
"acetaminophen, caffeine, and pyrilamine",NA,NA,NA,NA
"aspirin and omeprazole",NA,NA,1811630,"aspirin / omeprazole"
"bezlotoxumab",1855048,"bezlotoxumab",1855048,"bezlotoxumab"
"fluoride",NA,NA,NA,NA
"sodium fluoride cream, gel, and paste",NA,NA,NA,NA
"fluoride topical",NA,NA,NA,NA
"sodium fluoride and potassium nitrate",NA,NA,NA,NA
"sodium fluoride drops",NA,NA,NA,NA
"sodium fluoride",9873,"sodium fluoride",9873,"sodium fluoride"
"sodium fluoride chewable tablets",NA,NA,NA,NA
"cholecalciferol",2418,"cholecalciferol",2418,"cholecalciferol"
"cholecalciferol capsules and tablets",NA,NA,NA,NA
"estradiol and levonorgestrel",NA,NA,687333,"estradiol / levonorgestrel"
"afamelanotide acetate topical",NA,NA,NA,NA
"mecasermin",274403,"mecasermin",274403,"mecasermin"
"hyaluronidase and immune globulin",NA,NA,NA,NA
"immune globulin -slra",NA,NA,NA,NA
"immune globulin -klhw",NA,NA,NA,NA
"nortriptyline capsules",NA,NA,NA,NA
"acetylcholine",194,"acetylcholine",194,"acetylcholine"
"bicalutamide",83008,"bicalutamide",83008,"bicalutamide"
"abiraterone",1100072,"abiraterone",1100072,"abiraterone"
"enzalutamide",1307298,"enzalutamide",1307298,"enzalutamide"
"degarelix",475230,"degarelix",475230,"degarelix"
"sipuleucel-t",997261,"sipuleucel-t",997261,"sipuleucel-t"
"cabazitaxel",996051,"cabazitaxel",996051,"cabazitaxel"
"dipyridamole",3521,"dipyridamole",3521,"dipyridamole"
"protein c concentrate",NA,NA,8834,"protein c"
"calamine",106212,"calamine",106212,"calamine"
"dextromethorphan and quinidine",NA,NA,1040053,"dextromethorphan / quinidine"
"leflunomide",27169,"leflunomide",27169,"leflunomide"
"tofacitinib",1357536,"tofacitinib",1357536,"tofacitinib"
"perphenazine",8076,"perphenazine",8076,"perphenazine"
"fluphenazine",4496,"fluphenazine",4496,"fluphenazine"
"iloperidone",73178,"iloperidone",73178,"iloperidone"
"thiothixene",10510,"thiothixene",10510,"thiothixene"
"ambrisentan",358274,"ambrisentan",358274,"ambrisentan"
"bosentan",75207,"bosentan",75207,"bosentan"
"treprostinil",343048,"treprostinil",343048,"treprostinil"
"macitentan",1442132,"macitentan",1442132,"macitentan"
"epoprostenol",8814,"epoprostenol",8814,"epoprostenol"
"riociguat",1439816,"riociguat",1439816,"riociguat"
"iloprost inhalation",NA,NA,NA,NA
"selexipag",1729002,"selexipag",1729002,"selexipag"
"atropine ophthalmic",NA,NA,NA,NA
"cyclopentolate ophthalmic",NA,NA,NA,NA
"atropine eye drops",NA,NA,NA,NA
"atropine sulfate",NA,NA,NA,NA
"rabies immune globulin",NA,NA,89886,"rabies immune globulin, human"
"rabies vaccine",NA,NA,NA,NA
"prussian blue",NA,NA,24902,"prussian blue insoluble"
"technetium tc 99m pentetate",NA,NA,NA,NA
"felodipine",4316,"felodipine",4316,"felodipine"
"isradipine",33910,"isradipine",33910,"isradipine"
"nisoldipine",7435,"nisoldipine",7435,"nisoldipine"
"nevirapine",53654,"nevirapine",53654,"nevirapine"
"homatropine ophthalmic",NA,NA,NA,NA
"atropine, homatropine, and scopolamine",NA,NA,NA,NA
"homatropine",27084,"homatropine",27084,"homatropine"
"belatacept",1112973,"belatacept",1112973,"belatacept"
"pazopanib",714438,"pazopanib",714438,"pazopanib"
"axitinib",1242999,"axitinib",1242999,"axitinib"
"temsirolimus",657797,"temsirolimus",657797,"temsirolimus"
"citric acid and potassium citrate",NA,NA,214427,"citric acid / potassium citrate"
"sodium citrate and citric acid",NA,NA,91198,"citric acid / sodium citrate"
"anti-thymocyte globulin",NA,NA,1011,"lymphocyte immune globulin, anti-thymocyte globulin"
"beractant",46967,"beractant",46967,"beractant"
"calfactant",232539,"calfactant",232539,"calfactant"
"poractant alfa",236381,"poractant alfa",236381,"poractant alfa"
"nitric oxide",7442,"nitric oxide",7442,"nitric oxide"
