Code Range,CCS,CCS Label,l,r
Q1005-Q1005,241,Visual aids and other optical supplies,Q1005,Q1005
Q2001-Q2001,240,"Medications (Injections, infusions and other forms)",Q2001,Q2001
Q2002-Q2002,240,"Medications (Injections, infusions and other forms)",Q2002,Q2002
Q2003-Q2003,240,"Medications (Injections, infusions and other forms)",Q2003,Q2003
Q2004-Q2004,243,DME and supplies,Q2004,Q2004
Q2005-Q2005,240,"Medications (Injections, infusions and other forms)",Q2005,Q2005
Q2006-Q2006,240,"Medications (Injections, infusions and other forms)",Q2006,Q2006
Q2007-Q2007,240,"Medications (Injections, infusions and other forms)",Q2007,Q2007
Q2008-Q2008,240,"Medications (Injections, infusions and other forms)",Q2008,Q2008
Q2009-Q2009,240,"Medications (Injections, infusions and other forms)",Q2009,Q2009
Q2010-Q2010,240,"Medications (Injections, infusions and other forms)",Q2010,Q2010
Q2011-Q2011,240,"Medications (Injections, infusions and other forms)",Q2011,Q2011
Q2012-Q2012,240,"Medications (Injections, infusions and other forms)",Q2012,Q2012
Q2013-Q2013,240,"Medications (Injections, infusions and other forms)",Q2013,Q2013
Q2014-Q2014,240,"Medications (Injections, infusions and other forms)",Q2014,Q2014
Q2015-Q2015,240,"Medications (Injections, infusions and other forms)",Q2015,Q2015
Q2016-Q2016,240,"Medications (Injections, infusions and other forms)",Q2016,Q2016
Q2017-Q2017,240,"Medications (Injections, infusions and other forms)",Q2017,Q2017
Q2018-Q2018,240,"Medications (Injections, infusions and other forms)",Q2018,Q2018
Q2019-Q2019,240,"Medications (Injections, infusions and other forms)",Q2019,Q2019
Q2020-Q2020,240,"Medications (Injections, infusions and other forms)",Q2020,Q2020
Q2021-Q2021,240,"Medications (Injections, infusions and other forms)",Q2021,Q2021
Q2022-Q2022,240,"Medications (Injections, infusions and other forms)",Q2022,Q2022
Q2023-Q2023,240,"Medications (Injections, infusions and other forms)",Q2023,Q2023
Q2024-Q2024,240,"Medications (Injections, infusions and other forms)",Q2024,Q2024
Q2025-Q2025,240,"Medications (Injections, infusions and other forms)",Q2025,Q2025
Q2026-Q2026,240,"Medications (Injections, infusions and other forms)",Q2026,Q2026
Q2027-Q2027,240,"Medications (Injections, infusions and other forms)",Q2027,Q2027
Q2028-Q2028,240,"Medications (Injections, infusions and other forms)",Q2028,Q2028
Q2034-Q2034,228,Prophylactic vaccinations and inoculations,Q2034,Q2034
Q2035-Q2035,228,Prophylactic vaccinations and inoculations,Q2035,Q2035
Q2036-Q2036,228,Prophylactic vaccinations and inoculations,Q2036,Q2036
Q2037-Q2037,228,Prophylactic vaccinations and inoculations,Q2037,Q2037
Q2038-Q2038,228,Prophylactic vaccinations and inoculations,Q2038,Q2038
Q2039-Q2039,228,Prophylactic vaccinations and inoculations,Q2039,Q2039
Q2040-Q2040,240,"Medications (Injections, infusions and other forms)",Q2040,Q2040
Q2041-Q2041,240,"Medications (Injections, infusions and other forms)",Q2041,Q2041
Q2042-Q2042,240,"Medications (Injections, infusions and other forms)",Q2042,Q2042
Q2043-Q2043,240,"Medications (Injections, infusions and other forms)",Q2043,Q2043
Q2044-Q2044,240,"Medications (Injections, infusions and other forms)",Q2044,Q2044
Q2045-Q2045,240,"Medications (Injections, infusions and other forms)",Q2045,Q2045
Q2046-Q2046,240,"Medications (Injections, infusions and other forms)",Q2046,Q2046
Q2047-Q2047,240,"Medications (Injections, infusions and other forms)",Q2047,Q2047
Q2048-Q2048,240,"Medications (Injections, infusions and other forms)",Q2048,Q2048
Q2049-Q2049,240,"Medications (Injections, infusions and other forms)",Q2049,Q2049
Q2050-Q2050,240,"Medications (Injections, infusions and other forms)",Q2050,Q2050
Q2052-Q2052,240,"Medications (Injections, infusions and other forms)",Q2052,Q2052
Q3000-Q3000,243,DME and supplies,Q3000,Q3000
Q3001-Q3001,243,DME and supplies,Q3001,Q3001
Q3002-Q3002,243,DME and supplies,Q3002,Q3002
Q3003-Q3003,243,DME and supplies,Q3003,Q3003
Q3004-Q3004,243,DME and supplies,Q3004,Q3004
Q3005-Q3005,243,DME and supplies,Q3005,Q3005
Q3006-Q3006,243,DME and supplies,Q3006,Q3006
Q3007-Q3007,243,DME and supplies,Q3007,Q3007
Q3008-Q3008,243,DME and supplies,Q3008,Q3008
Q3009-Q3009,243,DME and supplies,Q3009,Q3009
Q3010-Q3010,243,DME and supplies,Q3010,Q3010
Q3011-Q3011,243,DME and supplies,Q3011,Q3011
Q3012-Q3012,243,DME and supplies,Q3012,Q3012
Q3013-Q3013,240,"Medications (Injections, infusions and other forms)",Q3013,Q3013
Q3014-Q3014,237,Ancillary Services,Q3014,Q3014
Q3017-Q3017,239,"Transportation - patient, provider, equipment",Q3017,Q3017
Q3019-Q3019,239,"Transportation - patient, provider, equipment",Q3019,Q3019
Q3020-Q3020,239,"Transportation - patient, provider, equipment",Q3020,Q3020
Q3021-Q3021,228,Prophylactic vaccinations and inoculations,Q3021,Q3021
Q3022-Q3022,228,Prophylactic vaccinations and inoculations,Q3022,Q3022
Q3023-Q3023,228,Prophylactic vaccinations and inoculations,Q3023,Q3023
Q3025-Q3025,240,"Medications (Injections, infusions and other forms)",Q3025,Q3025
Q3026-Q3026,240,"Medications (Injections, infusions and other forms)",Q3026,Q3026
Q3027-Q3027,240,"Medications (Injections, infusions and other forms)",Q3027,Q3027
Q3028-Q3028,240,"Medications (Injections, infusions and other forms)",Q3028,Q3028
Q3030-Q3030,240,"Medications (Injections, infusions and other forms)",Q3030,Q3030
Q3031-Q3031,235,Other Laboratory,Q3031,Q3031
Q4001-Q4001,243,DME and supplies,Q4001,Q4001
Q4002-Q4002,243,DME and supplies,Q4002,Q4002
Q4003-Q4003,243,DME and supplies,Q4003,Q4003
Q4004-Q4004,243,DME and supplies,Q4004,Q4004
Q4005-Q4005,243,DME and supplies,Q4005,Q4005
Q4006-Q4006,243,DME and supplies,Q4006,Q4006
Q4007-Q4007,243,DME and supplies,Q4007,Q4007
Q4008-Q4008,243,DME and supplies,Q4008,Q4008
Q4009-Q4009,243,DME and supplies,Q4009,Q4009
Q4010-Q4010,243,DME and supplies,Q4010,Q4010
Q4011-Q4011,243,DME and supplies,Q4011,Q4011
Q4012-Q4012,243,DME and supplies,Q4012,Q4012
Q4013-Q4013,243,DME and supplies,Q4013,Q4013
Q4014-Q4014,243,DME and supplies,Q4014,Q4014
Q4015-Q4015,243,DME and supplies,Q4015,Q4015
Q4016-Q4016,243,DME and supplies,Q4016,Q4016
Q4017-Q4017,243,DME and supplies,Q4017,Q4017
Q4018-Q4018,243,DME and supplies,Q4018,Q4018
Q4019-Q4019,243,DME and supplies,Q4019,Q4019
Q4020-Q4020,243,DME and supplies,Q4020,Q4020
Q4021-Q4021,243,DME and supplies,Q4021,Q4021
Q4022-Q4022,243,DME and supplies,Q4022,Q4022
Q4023-Q4023,243,DME and supplies,Q4023,Q4023
Q4024-Q4024,243,DME and supplies,Q4024,Q4024
Q4025-Q4025,243,DME and supplies,Q4025,Q4025
Q4026-Q4026,243,DME and supplies,Q4026,Q4026
Q4027-Q4027,243,DME and supplies,Q4027,Q4027
Q4028-Q4028,243,DME and supplies,Q4028,Q4028
Q4029-Q4029,243,DME and supplies,Q4029,Q4029
Q4030-Q4030,243,DME and supplies,Q4030,Q4030
Q4031-Q4031,243,DME and supplies,Q4031,Q4031
Q4032-Q4032,243,DME and supplies,Q4032,Q4032
Q4033-Q4033,243,DME and supplies,Q4033,Q4033
Q4034-Q4034,243,DME and supplies,Q4034,Q4034
Q4035-Q4035,243,DME and supplies,Q4035,Q4035
Q4036-Q4036,243,DME and supplies,Q4036,Q4036
Q4037-Q4037,243,DME and supplies,Q4037,Q4037
Q4038-Q4038,243,DME and supplies,Q4038,Q4038
Q4039-Q4039,243,DME and supplies,Q4039,Q4039
Q4040-Q4040,243,DME and supplies,Q4040,Q4040
Q4041-Q4041,243,DME and supplies,Q4041,Q4041
Q4042-Q4042,243,DME and supplies,Q4042,Q4042
Q4043-Q4043,243,DME and supplies,Q4043,Q4043
Q4044-Q4044,243,DME and supplies,Q4044,Q4044
Q4045-Q4045,243,DME and supplies,Q4045,Q4045
Q4046-Q4046,243,DME and supplies,Q4046,Q4046
Q4047-Q4047,243,DME and supplies,Q4047,Q4047
Q4048-Q4048,243,DME and supplies,Q4048,Q4048
Q4049-Q4049,243,DME and supplies,Q4049,Q4049
Q4050-Q4050,243,DME and supplies,Q4050,Q4050
Q4051-Q4051,243,DME and supplies,Q4051,Q4051
Q4052-Q4052,240,"Medications (Injections, infusions and other forms)",Q4052,Q4052
Q4053-Q4053,240,"Medications (Injections, infusions and other forms)",Q4053,Q4053
Q4054-Q4054,240,"Medications (Injections, infusions and other forms)",Q4054,Q4054
Q4055-Q4055,240,"Medications (Injections, infusions and other forms)",Q4055,Q4055
Q4074-Q4074,240,"Medications (Injections, infusions and other forms)",Q4074,Q4074
Q4075-Q4075,240,"Medications (Injections, infusions and other forms)",Q4075,Q4075
Q4076-Q4076,240,"Medications (Injections, infusions and other forms)",Q4076,Q4076
Q4077-Q4077,240,"Medications (Injections, infusions and other forms)",Q4077,Q4077
Q4078-Q4078,243,DME and supplies,Q4078,Q4078
Q4079-Q4079,240,"Medications (Injections, infusions and other forms)",Q4079,Q4079
Q4080-Q4080,243,DME and supplies,Q4080,Q4080
Q4081-Q4081,240,"Medications (Injections, infusions and other forms)",Q4081,Q4081
Q4082-Q4082,240,"Medications (Injections, infusions and other forms)",Q4082,Q4082
Q4083-Q4083,240,"Medications (Injections, infusions and other forms)",Q4083,Q4083
Q4084-Q4084,240,"Medications (Injections, infusions and other forms)",Q4084,Q4084
Q4085-Q4085,240,"Medications (Injections, infusions and other forms)",Q4085,Q4085
Q4086-Q4086,240,"Medications (Injections, infusions and other forms)",Q4086,Q4086
Q4087-Q4087,240,"Medications (Injections, infusions and other forms)",Q4087,Q4087
Q4088-Q4088,240,"Medications (Injections, infusions and other forms)",Q4088,Q4088
Q4089-Q4089,240,"Medications (Injections, infusions and other forms)",Q4089,Q4089
Q4090-Q4090,240,"Medications (Injections, infusions and other forms)",Q4090,Q4090
Q4091-Q4091,240,"Medications (Injections, infusions and other forms)",Q4091,Q4091
Q4092-Q4092,240,"Medications (Injections, infusions and other forms)",Q4092,Q4092
Q4093-Q4093,240,"Medications (Injections, infusions and other forms)",Q4093,Q4093
Q4094-Q4094,240,"Medications (Injections, infusions and other forms)",Q4094,Q4094
Q4095-Q4095,240,"Medications (Injections, infusions and other forms)",Q4095,Q4095
Q4096-Q4096,240,"Medications (Injections, infusions and other forms)",Q4096,Q4096
Q4097-Q4097,240,"Medications (Injections, infusions and other forms)",Q4097,Q4097
Q4098-Q4098,240,"Medications (Injections, infusions and other forms)",Q4098,Q4098
Q4099-Q4099,240,"Medications (Injections, infusions and other forms)",Q4099,Q4099
Q4100-Q4100,243,DME and supplies,Q4100,Q4100
Q4101-Q4101,243,DME and supplies,Q4101,Q4101
Q4102-Q4102,243,DME and supplies,Q4102,Q4102
Q4103-Q4103,243,DME and supplies,Q4103,Q4103
Q4104-Q4104,243,DME and supplies,Q4104,Q4104
Q4105-Q4105,243,DME and supplies,Q4105,Q4105
Q4106-Q4106,243,DME and supplies,Q4106,Q4106
Q4107-Q4107,243,DME and supplies,Q4107,Q4107
Q4108-Q4108,243,DME and supplies,Q4108,Q4108
Q4109-Q4109,243,DME and supplies,Q4109,Q4109
Q4110-Q4110,243,DME and supplies,Q4110,Q4110
Q4111-Q4111,243,DME and supplies,Q4111,Q4111
Q4112-Q4112,243,DME and supplies,Q4112,Q4112
Q4113-Q4113,243,DME and supplies,Q4113,Q4113
Q4114-Q4114,243,DME and supplies,Q4114,Q4114
Q4115-Q4115,243,DME and supplies,Q4115,Q4115
Q4116-Q4116,243,DME and supplies,Q4116,Q4116
Q4117-Q4117,243,DME and supplies,Q4117,Q4117
Q4118-Q4118,243,DME and supplies,Q4118,Q4118
Q4119-Q4119,243,DME and supplies,Q4119,Q4119
Q4120-Q4120,243,DME and supplies,Q4120,Q4120
Q4121-Q4121,243,DME and supplies,Q4121,Q4121
Q4122-Q4122,243,DME and supplies,Q4122,Q4122
Q4123-Q4123,243,DME and supplies,Q4123,Q4123
Q4124-Q4124,243,DME and supplies,Q4124,Q4124
Q4125-Q4125,243,DME and supplies,Q4125,Q4125
Q4126-Q4126,243,DME and supplies,Q4126,Q4126
Q4127-Q4127,243,DME and supplies,Q4127,Q4127
Q4128-Q4128,243,DME and supplies,Q4128,Q4128
Q4129-Q4129,243,DME and supplies,Q4129,Q4129
Q4130-Q4130,243,DME and supplies,Q4130,Q4130
Q4131-Q4131,243,DME and supplies,Q4131,Q4131
Q4132-Q4132,243,DME and supplies,Q4132,Q4132
Q4133-Q4133,243,DME and supplies,Q4133,Q4133
Q4134-Q4134,243,DME and supplies,Q4134,Q4134
Q4135-Q4135,243,DME and supplies,Q4135,Q4135
Q4136-Q4136,243,DME and supplies,Q4136,Q4136
Q4137-Q4137,243,DME and supplies,Q4137,Q4137
Q4138-Q4138,243,DME and supplies,Q4138,Q4138
Q4139-Q4139,243,DME and supplies,Q4139,Q4139
Q4140-Q4140,243,DME and supplies,Q4140,Q4140
Q4141-Q4141,243,DME and supplies,Q4141,Q4141
Q4142-Q4142,243,DME and supplies,Q4142,Q4142
Q4143-Q4143,243,DME and supplies,Q4143,Q4143
Q4145-Q4145,243,DME and supplies,Q4145,Q4145
Q4146-Q4146,243,DME and supplies,Q4146,Q4146
Q4147-Q4147,243,DME and supplies,Q4147,Q4147
Q4148-Q4148,243,DME and supplies,Q4148,Q4148
Q4149-Q4149,243,DME and supplies,Q4149,Q4149
Q4150-Q4150,243,DME and supplies,Q4150,Q4150
Q4151-Q4151,243,DME and supplies,Q4151,Q4151
Q4152-Q4152,243,DME and supplies,Q4152,Q4152
Q4153-Q4153,243,DME and supplies,Q4153,Q4153
Q4154-Q4154,243,DME and supplies,Q4154,Q4154
Q4155-Q4155,243,DME and supplies,Q4155,Q4155
Q4156-Q4156,243,DME and supplies,Q4156,Q4156
Q4157-Q4157,243,DME and supplies,Q4157,Q4157
Q4158-Q4158,243,DME and supplies,Q4158,Q4158
Q4159-Q4159,243,DME and supplies,Q4159,Q4159
Q4160-Q4160,243,DME and supplies,Q4160,Q4160
Q4161-Q4161,243,DME and supplies,Q4161,Q4161
Q4162-Q4162,243,DME and supplies,Q4162,Q4162
Q4163-Q4163,243,DME and supplies,Q4163,Q4163
Q4164-Q4164,243,DME and supplies,Q4164,Q4164
Q4165-Q4165,243,DME and supplies,Q4165,Q4165
Q4166-Q4166,243,DME and supplies,Q4166,Q4166
Q4167-Q4167,243,DME and supplies,Q4167,Q4167
Q4168-Q4168,243,DME and supplies,Q4168,Q4168
Q4169-Q4169,243,DME and supplies,Q4169,Q4169
Q4170-Q4170,243,DME and supplies,Q4170,Q4170
Q4171-Q4171,243,DME and supplies,Q4171,Q4171
Q4172-Q4172,243,DME and supplies,Q4172,Q4172
Q4173-Q4173,243,DME and supplies,Q4173,Q4173
Q4174-Q4174,243,DME and supplies,Q4174,Q4174
Q4175-Q4175,243,DME and supplies,Q4175,Q4175
Q4176-Q4176,243,DME and supplies,Q4176,Q4176
Q4177-Q4177,243,DME and supplies,Q4177,Q4177
Q4178-Q4178,243,DME and supplies,Q4178,Q4178
Q4179-Q4179,243,DME and supplies,Q4179,Q4179
Q4180-Q4180,243,DME and supplies,Q4180,Q4180
Q4181-Q4181,243,DME and supplies,Q4181,Q4181
Q4182-Q4182,243,DME and supplies,Q4182,Q4182
Q4183-Q4183,243,DME and supplies,Q4183,Q4183
Q4184-Q4184,243,DME and supplies,Q4184,Q4184
Q4185-Q4185,243,DME and supplies,Q4185,Q4185
Q4186-Q4186,243,DME and supplies,Q4186,Q4186
Q4187-Q4187,243,DME and supplies,Q4187,Q4187
Q4188-Q4188,243,DME and supplies,Q4188,Q4188
Q4189-Q4189,243,DME and supplies,Q4189,Q4189
Q4190-Q4190,243,DME and supplies,Q4190,Q4190
Q4191-Q4191,243,DME and supplies,Q4191,Q4191
Q4192-Q4192,243,DME and supplies,Q4192,Q4192
Q4193-Q4193,243,DME and supplies,Q4193,Q4193
Q4194-Q4194,243,DME and supplies,Q4194,Q4194
Q4195-Q4195,243,DME and supplies,Q4195,Q4195
Q4196-Q4196,243,DME and supplies,Q4196,Q4196
Q4197-Q4197,243,DME and supplies,Q4197,Q4197
Q4198-Q4198,243,DME and supplies,Q4198,Q4198
Q4200-Q4200,243,DME and supplies,Q4200,Q4200
Q4201-Q4201,243,DME and supplies,Q4201,Q4201
Q4202-Q4202,243,DME and supplies,Q4202,Q4202
Q4203-Q4203,243,DME and supplies,Q4203,Q4203
Q4204-Q4204,243,DME and supplies,Q4204,Q4204
Q5001-Q5001,231,Other therapeutic procedures,Q5001,Q5001
Q5002-Q5002,231,Other therapeutic procedures,Q5002,Q5002
Q5003-Q5003,231,Other therapeutic procedures,Q5003,Q5003
Q5004-Q5004,231,Other therapeutic procedures,Q5004,Q5004
Q5005-Q5005,231,Other therapeutic procedures,Q5005,Q5005
Q5006-Q5006,231,Other therapeutic procedures,Q5006,Q5006
Q5007-Q5007,231,Other therapeutic procedures,Q5007,Q5007
Q5008-Q5008,231,Other therapeutic procedures,Q5008,Q5008
Q5009-Q5009,231,Other therapeutic procedures,Q5009,Q5009
Q5010-Q5010,227,"Other diagnostic procedures (interview, evaluation, consultation)",Q5010,Q5010
Q5101-Q5101,240,"Medications (Injections, infusions and other forms)",Q5101,Q5101
Q5102-Q5102,240,"Medications (Injections, infusions and other forms)",Q5102,Q5102
Q5103-Q5103,240,"Medications (Injections, infusions and other forms)",Q5103,Q5103
Q5104-Q5104,240,"Medications (Injections, infusions and other forms)",Q5104,Q5104
Q5105-Q5105,240,"Medications (Injections, infusions and other forms)",Q5105,Q5105
Q5106-Q5106,240,"Medications (Injections, infusions and other forms)",Q5106,Q5106
Q5107-Q5107,240,"Medications (Injections, infusions and other forms)",Q5107,Q5107
Q5108-Q5108,240,"Medications (Injections, infusions and other forms)",Q5108,Q5108
Q5109-Q5109,240,"Medications (Injections, infusions and other forms)",Q5109,Q5109
Q5110-Q5110,240,"Medications (Injections, infusions and other forms)",Q5110,Q5110
Q5111-Q5111,240,"Medications (Injections, infusions and other forms)",Q5111,Q5111
Q9920-Q9920,240,"Medications (Injections, infusions and other forms)",Q9920,Q9920
Q9921-Q9921,240,"Medications (Injections, infusions and other forms)",Q9921,Q9921
Q9922-Q9922,240,"Medications (Injections, infusions and other forms)",Q9922,Q9922
Q9923-Q9923,240,"Medications (Injections, infusions and other forms)",Q9923,Q9923
Q9924-Q9924,240,"Medications (Injections, infusions and other forms)",Q9924,Q9924
Q9925-Q9925,240,"Medications (Injections, infusions and other forms)",Q9925,Q9925
Q9926-Q9926,240,"Medications (Injections, infusions and other forms)",Q9926,Q9926
Q9927-Q9927,240,"Medications (Injections, infusions and other forms)",Q9927,Q9927
Q9928-Q9928,240,"Medications (Injections, infusions and other forms)",Q9928,Q9928
Q9929-Q9929,240,"Medications (Injections, infusions and other forms)",Q9929,Q9929
Q9930-Q9930,240,"Medications (Injections, infusions and other forms)",Q9930,Q9930
Q9931-Q9931,240,"Medications (Injections, infusions and other forms)",Q9931,Q9931
Q9932-Q9932,240,"Medications (Injections, infusions and other forms)",Q9932,Q9932
Q9933-Q9933,240,"Medications (Injections, infusions and other forms)",Q9933,Q9933
Q9934-Q9934,240,"Medications (Injections, infusions and other forms)",Q9934,Q9934
Q9935-Q9935,240,"Medications (Injections, infusions and other forms)",Q9935,Q9935
Q9936-Q9936,240,"Medications (Injections, infusions and other forms)",Q9936,Q9936
Q9937-Q9937,240,"Medications (Injections, infusions and other forms)",Q9937,Q9937
Q9938-Q9938,240,"Medications (Injections, infusions and other forms)",Q9938,Q9938
Q9939-Q9939,240,"Medications (Injections, infusions and other forms)",Q9939,Q9939
Q9940-Q9940,240,"Medications (Injections, infusions and other forms)",Q9940,Q9940
Q9941-Q9941,240,"Medications (Injections, infusions and other forms)",Q9941,Q9941
Q9942-Q9942,240,"Medications (Injections, infusions and other forms)",Q9942,Q9942
Q9943-Q9943,240,"Medications (Injections, infusions and other forms)",Q9943,Q9943
Q9944-Q9944,240,"Medications (Injections, infusions and other forms)",Q9944,Q9944
Q9945-Q9945,243,DME and supplies,Q9945,Q9945
Q9946-Q9946,243,DME and supplies,Q9946,Q9946
Q9947-Q9947,243,DME and supplies,Q9947,Q9947
Q9948-Q9948,243,DME and supplies,Q9948,Q9948
Q9949-Q9949,243,DME and supplies,Q9949,Q9949
Q9950-Q9950,240,"Medications (Injections, infusions and other forms)",Q9950,Q9950
Q9951-Q9951,243,DME and supplies,Q9951,Q9951
Q9952-Q9952,240,"Medications (Injections, infusions and other forms)",Q9952,Q9952
Q9953-Q9953,240,"Medications (Injections, infusions and other forms)",Q9953,Q9953
Q9954-Q9954,243,DME and supplies,Q9954,Q9954
Q9955-Q9955,240,"Medications (Injections, infusions and other forms)",Q9955,Q9955
Q9956-Q9956,240,"Medications (Injections, infusions and other forms)",Q9956,Q9956
Q9957-Q9957,240,"Medications (Injections, infusions and other forms)",Q9957,Q9957
Q9958-Q9958,243,DME and supplies,Q9958,Q9958
Q9959-Q9959,243,DME and supplies,Q9959,Q9959
Q9960-Q9960,243,DME and supplies,Q9960,Q9960
Q9961-Q9961,243,DME and supplies,Q9961,Q9961
Q9962-Q9962,243,DME and supplies,Q9962,Q9962
Q9963-Q9963,243,DME and supplies,Q9963,Q9963
Q9964-Q9964,243,DME and supplies,Q9964,Q9964
Q9965-Q9965,243,DME and supplies,Q9965,Q9965
Q9966-Q9966,243,DME and supplies,Q9966,Q9966
Q9967-Q9967,243,DME and supplies,Q9967,Q9967
Q9968-Q9968,243,DME and supplies,Q9968,Q9968
Q9969-Q9969,243,DME and supplies,Q9969,Q9969
Q9970-Q9970,240,"Medications (Injections, infusions and other forms)",Q9970,Q9970
Q9972-Q9972,240,"Medications (Injections, infusions and other forms)",Q9972,Q9972
Q9973-Q9973,240,"Medications (Injections, infusions and other forms)",Q9973,Q9973
Q9974-Q9974,240,"Medications (Injections, infusions and other forms)",Q9974,Q9974
Q9976-Q9976,240,"Medications (Injections, infusions and other forms)",Q9976,Q9976
Q9977-Q9977,240,"Medications (Injections, infusions and other forms)",Q9977,Q9977
Q9978-Q9978,240,"Medications (Injections, infusions and other forms)",Q9978,Q9978
Q9979-Q9979,240,"Medications (Injections, infusions and other forms)",Q9979,Q9979
Q9980-Q9980,240,"Medications (Injections, infusions and other forms)",Q9980,Q9980
Q9981-Q9981,240,"Medications (Injections, infusions and other forms)",Q9981,Q9981
Q9982-Q9982,243,DME and supplies,Q9982,Q9982
Q9983-Q9983,243,DME and supplies,Q9983,Q9983
Q9991-Q9991,240,"Medications (Injections, infusions and other forms)",Q9991,Q9991
Q9992-Q9992,240,"Medications (Injections, infusions and other forms)",Q9992,Q9992
Q9993-Q9993,240,"Medications (Injections, infusions and other forms)",Q9993,Q9993
Q9994-Q9994,243,DME and supplies,Q9994,Q9994
Q9995-Q9995,240,"Medications (Injections, infusions and other forms)",Q9995,Q9995
R0070-R0070,239,"Transportation - patient, provider, equipment",R0070,R0070
R0075-R0075,239,"Transportation - patient, provider, equipment",R0075,R0075
R0076-R0076,239,"Transportation - patient, provider, equipment",R0076,R0076
S0009-S0009,240,"Medications (Injections, infusions and other forms)",S0009,S0009
S0010-S0010,240,"Medications (Injections, infusions and other forms)",S0010,S0010
S0011-S0011,240,"Medications (Injections, infusions and other forms)",S0011,S0011
S0012-S0012,240,"Medications (Injections, infusions and other forms)",S0012,S0012
S0014-S0014,240,"Medications (Injections, infusions and other forms)",S0014,S0014
S0016-S0016,240,"Medications (Injections, infusions and other forms)",S0016,S0016
S0017-S0017,240,"Medications (Injections, infusions and other forms)",S0017,S0017
S0020-S0020,240,"Medications (Injections, infusions and other forms)",S0020,S0020
S0021-S0021,240,"Medications (Injections, infusions and other forms)",S0021,S0021
S0023-S0023,240,"Medications (Injections, infusions and other forms)",S0023,S0023
S0024-S0024,240,"Medications (Injections, infusions and other forms)",S0024,S0024
S0028-S0028,240,"Medications (Injections, infusions and other forms)",S0028,S0028
S0029-S0029,240,"Medications (Injections, infusions and other forms)",S0029,S0029
S0030-S0030,240,"Medications (Injections, infusions and other forms)",S0030,S0030
S0032-S0032,240,"Medications (Injections, infusions and other forms)",S0032,S0032
S0034-S0034,240,"Medications (Injections, infusions and other forms)",S0034,S0034
S0039-S0039,240,"Medications (Injections, infusions and other forms)",S0039,S0039
S0040-S0040,240,"Medications (Injections, infusions and other forms)",S0040,S0040
S0071-S0071,240,"Medications (Injections, infusions and other forms)",S0071,S0071
S0072-S0072,240,"Medications (Injections, infusions and other forms)",S0072,S0072
S0073-S0073,240,"Medications (Injections, infusions and other forms)",S0073,S0073
S0074-S0074,240,"Medications (Injections, infusions and other forms)",S0074,S0074
S0077-S0077,240,"Medications (Injections, infusions and other forms)",S0077,S0077
S0078-S0078,240,"Medications (Injections, infusions and other forms)",S0078,S0078
S0079-S0079,240,"Medications (Injections, infusions and other forms)",S0079,S0079
S0080-S0080,240,"Medications (Injections, infusions and other forms)",S0080,S0080
S0081-S0081,240,"Medications (Injections, infusions and other forms)",S0081,S0081
S0085-S0085,240,"Medications (Injections, infusions and other forms)",S0085,S0085
S0086-S0086,240,"Medications (Injections, infusions and other forms)",S0086,S0086
S0087-S0087,240,"Medications (Injections, infusions and other forms)",S0087,S0087
S0088-S0088,240,"Medications (Injections, infusions and other forms)",S0088,S0088
S0090-S0090,240,"Medications (Injections, infusions and other forms)",S0090,S0090
S0091-S0091,240,"Medications (Injections, infusions and other forms)",S0091,S0091
S0092-S0092,240,"Medications (Injections, infusions and other forms)",S0092,S0092
S0093-S0093,240,"Medications (Injections, infusions and other forms)",S0093,S0093
S0096-S0096,240,"Medications (Injections, infusions and other forms)",S0096,S0096
S0097-S0097,240,"Medications (Injections, infusions and other forms)",S0097,S0097
S0098-S0098,240,"Medications (Injections, infusions and other forms)",S0098,S0098
S0104-S0104,240,"Medications (Injections, infusions and other forms)",S0104,S0104
S0106-S0106,240,"Medications (Injections, infusions and other forms)",S0106,S0106
S0107-S0107,240,"Medications (Injections, infusions and other forms)",S0107,S0107
S0108-S0108,240,"Medications (Injections, infusions and other forms)",S0108,S0108
S0109-S0109,240,"Medications (Injections, infusions and other forms)",S0109,S0109
S0112-S0112,240,"Medications (Injections, infusions and other forms)",S0112,S0112
S0114-S0114,240,"Medications (Injections, infusions and other forms)",S0114,S0114
S0115-S0115,240,"Medications (Injections, infusions and other forms)",S0115,S0115
S0116-S0116,240,"Medications (Injections, infusions and other forms)",S0116,S0116
S0117-S0117,240,"Medications (Injections, infusions and other forms)",S0117,S0117
S0118-S0118,240,"Medications (Injections, infusions and other forms)",S0118,S0118
S0119-S0119,240,"Medications (Injections, infusions and other forms)",S0119,S0119
S0122-S0122,240,"Medications (Injections, infusions and other forms)",S0122,S0122
S0124-S0124,240,"Medications (Injections, infusions and other forms)",S0124,S0124
S0126-S0126,240,"Medications (Injections, infusions and other forms)",S0126,S0126
S0128-S0128,240,"Medications (Injections, infusions and other forms)",S0128,S0128
S0130-S0130,240,"Medications (Injections, infusions and other forms)",S0130,S0130
S0132-S0132,240,"Medications (Injections, infusions and other forms)",S0132,S0132
S0133-S0133,240,"Medications (Injections, infusions and other forms)",S0133,S0133
S0135-S0135,240,"Medications (Injections, infusions and other forms)",S0135,S0135
S0136-S0136,240,"Medications (Injections, infusions and other forms)",S0136,S0136
S0137-S0137,240,"Medications (Injections, infusions and other forms)",S0137,S0137
S0138-S0138,240,"Medications (Injections, infusions and other forms)",S0138,S0138
S0139-S0139,240,"Medications (Injections, infusions and other forms)",S0139,S0139
